SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
15609	1.203	7600	0.113	2.415	7600	1.524
15610	0.441	6900	0.119	1.871	6900	1.498
15611	0.106	8000	0.104	1.552	8000	1.461
15612	0.107	8000	0.093	1.511	8000	1.448
15613	0.145	8900	0.101	1.571	8900	1.447
15614	2.538	9300	0.115	3.277	9300	1.443
15615	2.475	9500	0.118	3.6	9500	1.46
15616	0.545	8000	0.109	2.023	8000	1.46
15617	0.152	8400	0.094	1.524	8400	1.421
15618	0.104	8000	0.115	1.505	8000	1.404
15619	0.162	9800	0.142	1.507	9800	1.492
15620	0.39	9300	0.114	1.756	9300	1.428
15621	2.07	10100	0.113	3.093	10100	1.389
15622	0.723	9100	0.114	2.011	9100	1.41
15623	0.681	9800	0.128	1.969	9800	1.46
15624	0.426	8700	0.105	1.837	8700	1.442
15625	0.459	9300	0.089	1.747	9300	1.418
15626	1.708	10300	0.113	2.961	10300	1.444
15627	1.409	9400	0.113	2.488	9400	1.406
15628	0.18	9900	0.112	1.593	9900	1.398
15629	0.275	9100	0.112	1.663	9100	1.427
