SPOT_LABEL	CLONE_ID	SOURCE_CLONE_ID	ORIGIN
386	219673	CATMA1a43100	UK(HRI)
387	219674	CATMA1a43210	UK(HRI)
388	219603	CATMA1a43230	UK(HRI)
389	219626	CATMA1a43130	UK(HRI)
390	219650	CATMA1a43190	UK(HRI)
391	219627	CATMA1a43270	UK(HRI)
392	219651	CATMA1a43280	UK(HRI)
393	220539	CATMA5a12840	MADRID
394	220468	CATMA5a12860	MADRID
395	220540	CATMA5a12930	MADRID
396	220469	CATMA5a12970	MADRID
397	220492	CATMA5a12890	MADRID
398	220516	CATMA5a12910	MADRID
399	220493	CATMA5a12990	MADRID
400	220517	CATMA5a13010	MADRID
401	220449	CATMA5a09150	LAUSANNE
402	220378	CATMA5a09180	LAUSANNE
403	220450	CATMA5a09230	LAUSANNE
404	220379	CATMA5a09250	LAUSANNE
405	220402	CATMA5a09186	LAUSANNE
406	220426	CATMA5a09200	LAUSANNE
407	220403	CATMA5a09280	LAUSANNE
408	220427	CATMA5a09300	LAUSANNE
409	220943	CATMA5a37870	UK(HRI)
410	220872	CATMA5a37886	UK(HRI)
411	220945	CATMA5a41700	UTRECHT
412	220969	CATMA5a41720	UTRECHT
413	220896	CATMA5a37910	UK(HRI)
414	220920	CATMA5a37930	UK(HRI)
415	220993	CATMA5a41750	UTRECHT
416	221017	CATMA5a41780	UTRECHT
417	220770	CATMA5a30710	MAF
418	220794	CATMA5a30740	MAF
419	220783	CATMA5a30815	MAF
420	220819	CATMA5a30903	MAF
421	220818	CATMA5a30760	MAF
422	220842	CATMA5a30780	MAF
423	220843	CATMA5a30920	MAF
424	220772	CATMA5a30940	MAF
425	222357	CATMA2a04200	MAF
426	222298	CATMA2a04260	MAF
427	222299	CATMA2a04400	MAF
428	222347	CATMA2a04480	MAF
429	222334	CATMA2a04310	MAF
430	222358	CATMA2a04370	MAF
431	222312	CATMA2a04560	MAF
432	222360	CATMA2a04620	MAF
433	221163	CATMA5a50720	MADRID
434	221211	CATMA5a50760	MADRID
435	221188	CATMA5a50810	MADRID
436	221212	CATMA5a50830	MADRID
437	221140	CATMA5a50780	MADRID
438	221164	CATMA5a50795	MADRID
439	221141	CATMA5a50850	MADRID
440	221165	CATMA5a50870	MADRID
441	222508	CATMA2a18770	UK(HRI)
442	222532	CATMA2a18790	UK(HRI)
443	222521	CATMA2a18850	UK(HRI)
444	222557	CATMA2a18880	UK(HRI)
445	222556	CATMA2a18810	UK(HRI)
446	222497	CATMA2a18830	UK(HRI)
447	222486	CATMA2a18910	UK(HRI)
448	222510	CATMA2a18920	UK(HRI)
449	223385	CATMA4a19540	LAUSANNE
450	223409	CATMA4a19550	LAUSANNE
451	223398	CATMA4a19630	LAUSANNE
452	223422	CATMA4a19650	LAUSANNE
453	223350	CATMA4a19590	LAUSANNE
454	223374	CATMA4a19610	LAUSANNE
455	223351	CATMA4a19670	LAUSANNE
456	223375	CATMA4a19710	LAUSANNE
457	223663	CATMA3a11370	LAUSANNE
458	223699	CATMA3a11430	LAUSANNE
459	223676	CATMA3a11500	LAUSANNE
460	223700	CATMA3a11520	LAUSANNE
461	223723	CATMA3a11450	LAUSANNE
462	223652	CATMA3a11470	LAUSANNE
463	223724	CATMA3a11535	LAUSANNE
464	223653	CATMA3a11550	LAUSANNE
465	222730	CATMA2a29810	LAUSANNE
466	222754	CATMA2a29850	LAUSANNE
467	222743	CATMA2a29960	LAUSANNE
468	222767	CATMA2a29980	LAUSANNE
469	222683	CATMA2a29880	LAUSANNE
470	222719	CATMA2a29940	LAUSANNE
471	222708	CATMA2a30020	LAUSANNE
472	222732	CATMA2a30050	LAUSANNE
473	223142	CATMA4a02040	BERLIN
474	223071	CATMA4a02080	BERLIN
475	223060	CATMA4a02210	BERLIN
476	223084	CATMA4a02230	BERLIN
477	223095	CATMA4a02100	BERLIN
478	223119	CATMA4a02120	BERLIN
479	223120	CATMA4a02290	BERLIN
480	223144	CATMA4a02325	BERLIN
481	224480	CATMA3a50020	MAF
482	224409	CATMA3a50026	MAF
483	224481	CATMA3a50100	MAF
484	224410	CATMA3a50130	MAF
485	224433	CATMA3a50040	MAF
486	224457	CATMA3a50060	MAF
487	224434	CATMA3a50145	MAF
488	224458	CATMA3a50170	MAF
489	224626	CATMA4a09790	LAUSANNE
490	224650	CATMA4a09820	LAUSANNE
491	224663	CATMA4a09990	LAUSANNE
492	224687	CATMA4a10010	LAUSANNE
493	224686	CATMA4a09890	LAUSANNE
494	224615	CATMA4a09910	LAUSANNE
495	224616	CATMA4a10030	LAUSANNE
496	224640	CATMA4a10060	LAUSANNE
497	223491	CATMA4a24600	MADRID
498	223515	CATMA4a24620	MADRID
499	223492	CATMA4a24693	MADRID
500	223528	CATMA4a24720	MADRID
501	223444	CATMA4a24660	MADRID
502	223468	CATMA4a24680	MADRID
503	223457	CATMA4a24770	MADRID
504	223481	CATMA4a24800	MADRID
505	223912	CATMA3a15620	MADRID
506	223841	CATMA3a15640	MADRID
507	223913	CATMA3a15690	MADRID
508	223842	CATMA3a15710	MADRID
509	223865	CATMA3a15650	MADRID
510	223889	CATMA3a15670	MADRID
511	223866	CATMA3a15730	MADRID
512	223890	CATMA3a15740	MADRID
